Name,UniProt ID,Oxidized 24h,Reduced 24h,P-value 24h,Difference 24h,P-value (log) 24h,Significant 24h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 48h,Reduced 48h,P-value 48h,Difference 48h,P-value (log) 48h,Significant 48h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 72h,Reduced 72h,P-value 72h,Difference 72h,P-value (log) 72h,Significant 72h,Abundance Check Oxidized,Abundance Check Reduced,General abundance check,,
ADH6,Q04894,8.6744,8.5375,0.74492,0.1369,0.127890365,-,More,More,9.5431,8.8397,0.13858,0.7034,0.858299443,-,More,More,8.8359,8.355,0.23322,0.4809,0.632234209,-,More,More,All above average,FALSE,FALSE
ADH7,P25377,5.495,0,0.32857,5.495,0.483372092,-,Less,Less,2.6052,0,0.27618,2.6052,0.558807775,-,Less,Less,3.409,2.473,0.53127,0.936,0.274684707,-,Less,Less,FALSE,All Below Average,FALSE
ADI1,Q03677,8.4349,9.1841,0.075122,-0.7492,1.124232858,-,More,More,8.783,9.2699,0.30527,-0.4869,0.515315873,-,More,More,8.7825,9.1853,0.31804,-0.4028,0.497518255,-,More,More,All above average,FALSE,FALSE
ADK1,P07170,0,0,0,0,0,-,Less,Less,0,0,0,0,0,-,Less,Less,2.8912,2.473,0.77968,0.4182,0.108083606,-,Less,Less,FALSE,All Below Average,FALSE
ADK2,P26364,7.2654,8.0312,0.085917,-0.7658,1.065920896,-,More,More,6.9171,7.5505,0.31567,-0.6334,0.50076669,-,More,More,7.0772,6.6535,0.47285,0.4237,0.325276607,-,More,More,All above average,FALSE,FALSE
ADR1,P07248,8.2128,8.2169,0.99203,-0.0041,0.003475194,-,More,More,8.6229,8.2059,0.48414,0.417,0.315029034,-,More,More,7.8865,8.1509,0.55593,-0.2644,0.254979889,-,More,More,All above average,FALSE,FALSE
ADY2,P25613,6.9775,0,0.21476,6.9775,0.668046605,-,More,Less,6.5517,3.8544,0.046594,2.6973,1.331670005,-,More,Less,6.7947,3.8346,0.04233,2.9601,1.373351732,-,More,Less,FALSE,FALSE,Mixed
ADY4,Q05955,6.0123,0,0.28508,6.0123,0.54503325,-,Less,Less,4.3881,0,0.26621,4.3881,0.574775635,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
AEP3,Q12089,5.8767,5.535,0.7937,0.3417,0.10034362,-,Less,Less,6.4877,6.182,0.69651,0.3057,0.157072644,-,More,More,6.8714,5.027,0.088952,1.8444,1.050844283,-,More,Less,FALSE,FALSE,Mixed
AFG1,P32317,2.969,0,0.31731,2.969,0.498516241,-,Less,Less,2.3924,0,0.31731,2.3924,0.498516241,-,Less,Less,3.3981,0,0.36573,3.3981,0.436839414,-,Less,Less,FALSE,All Below Average,FALSE
AFR1,P33304,0,4.891,0.23803,-4.891,0.623368303,-,Less,Less,4.728,2.7026,0.23968,2.0254,0.620368204,-,Less,Less,2.8439,0,0.22863,2.8439,0.640866784,-,Less,Less,FALSE,All Below Average,FALSE
AFT2,Q08957,9.2509,8.2499,0.017425,1.001,1.758827213,-,More,More,9.1612,8.978,0.69977,0.1832,0.15504468,-,More,More,9.0806,8.3541,0.071678,0.7265,1.144614121,-,More,More,All above average,FALSE,FALSE
AGA1,P32323,9.8421,10.6821,0.018014,-0.84,1.744389842,-,More,More,9.7775,10.6987,0.019041,-0.9212,1.720310247,-,More,More,10.4368,11.2564,0.01573,-0.8196,1.803271277,-,More,More,All above average,FALSE,FALSE
AGA2,P32781,7.629,8.4413,0.068495,-0.8123,1.16434113,-,More,More,7.9898,8.9486,0.10768,-0.9588,0.967864953,-,More,More,8.3028,8.4687,0.70132,-0.1659,0.154083776,-,More,More,All above average,FALSE,FALSE
AGE1,Q04412,4.5267,5.7449,0.38677,-1.2182,0.41254722,-,Less,Less,4.225,5.2467,0.54283,-1.0217,0.265336159,-,Less,Less,6.0805,4.2865,0.21853,1.794,0.660488934,-,Less,Less,FALSE,All Below Average,FALSE
AGE2,P40529,10.6877,10.4226,0.45544,0.2651,0.341568829,-,More,More,10.5261,10.8412,0.42244,-0.3151,0.374234966,-,More,More,10.6348,10.9545,0.34613,-0.3197,0.460760758,-,More,More,All above average,FALSE,FALSE
AGP1,P25376,6.9034,5.7449,0.28161,1.1585,0.550351927,-,More,Less,6.887,5.8386,0.18102,1.0484,0.742273439,-,More,More,6.8767,5.0671,0.095159,1.8096,1.02155013,-,More,Less,FALSE,FALSE,Mixed
AGP2,P38090,3.0618,0,0.46014,3.0618,0.337110012,-,Less,Less,0,0,0,0,0,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
AGP3,P43548,8.6594,9.4684,0.051776,-0.809,1.285871504,-,More,More,8.7434,9.5636,0.084157,-0.8202,1.074909754,-,More,More,9.1518,9.8006,0.10755,-0.6488,0.968389585,-,More,More,All above average,FALSE,FALSE
AGX1,P43567,7.0243,5.535,0.16629,1.4893,0.779133867,-,More,Less,6.4789,4.1317,0.08333,2.3472,1.079198618,-,More,Less,5.2816,2.4389,0.098605,2.8427,1.006101063,-,Less,Less,FALSE,FALSE,Mixed
AHC1,Q12433,9.4415,9.8842,0.21249,-0.4427,0.672661503,-,More,More,9.7642,9.5957,0.6679,0.1685,0.175288557,-,More,More,9.7524,9.5844,0.62057,0.168,0.207209223,-,More,More,All above average,FALSE,FALSE
AHC2,P25649,7.3971,8.2274,0.06259,-0.8303,1.203495048,-,More,More,7.0376,7.9386,0.15354,-0.901,0.813778464,-,More,More,8.092,7.8002,0.51568,0.2918,0.287619712,-,More,More,All above average,FALSE,FALSE
AHP1,P38013,8.1844,8.6103,0.29288,-0.4259,0.533310284,-,More,More,8.235,8.527,0.62408,-0.292,0.204759735,-,More,More,7.6657,8.1814,0.25056,-0.5157,0.60108826,-,More,More,All above average,FALSE,FALSE
AHT1,P29589,8.5115,9.2372,0.084735,-0.7257,1.071937166,-,More,More,8.2639,9.6219,0.017565,-1.358,1.755351846,-,More,More,9.0016,9.919,0.022847,-0.9174,1.641170818,-,More,More,All above average,FALSE,FALSE
AIM1,P39724,10.2874,10.2695,0.95971,0.0179,0.01785998,-,More,More,9.9756,10.5111,0.17286,-0.5355,0.762305491,-,More,More,10.2991,10.7727,0.1628,-0.4736,0.788345599,-,More,More,All above average,FALSE,FALSE
AIM13,P43594,4.4938,0,0.27833,4.4938,0.55543998,-,Less,Less,4.0756,5.5366,0.38424,-1.461,0.415397426,-,Less,Less,2.7658,3.8606,0.46398,-1.0948,0.333500739,-,Less,Less,FALSE,All Below Average,FALSE
AIM17,P23180,7.629,6.1359,0.10186,1.4931,0.991996328,-,More,More,7.0821,5.6595,0.069535,1.4226,1.157796541,-,More,Less,6.0841,2.5506,0.040071,3.5335,1.397169819,-,Less,Less,FALSE,FALSE,Mixed
AIM2,P39721,7.4015,7.0486,0.60519,0.3529,0.218108257,-,More,More,7.466,6.8736,0.348,0.5924,0.458420756,-,More,More,7.3646,5.9363,0.015526,1.4283,1.808940418,-,More,More,All above average,FALSE,FALSE
AIM20,P40451,12.118,12.1463,0.93651,-0.0283,0.028487581,-,More,More,12.0141,12.2023,0.63189,-0.1882,0.199358518,-,More,More,11.9634,11.9638,0.99915,-0.0004,0.000369307,-,More,More,All above average,FALSE,FALSE
AIM21,P40563,6.1469,4.1452,0.15501,2.0017,0.809640284,-,Less,Less,6.8127,4.6987,0.045457,2.114,1.34239923,-,More,Less,5.6423,5.525,0.91385,0.1173,0.039125084,-,Less,Less,FALSE,FALSE,Mixed
AIM22,P47051,7.4672,7.7875,0.63891,-0.3203,0.194560314,-,More,More,7.1579,7.7667,0.33481,-0.6088,0.475201579,-,More,More,7.3455,7.1818,0.73949,0.1637,0.131067695,-,More,More,All above average,FALSE,FALSE
AIM24,P47127,8.0877,8.2839,0.62798,-0.1962,0.202054188,-,More,More,8.0121,8.8165,0.17713,-0.8044,0.751707877,-,More,More,8.62,8.5867,0.93414,0.0333,0.029588031,-,More,More,All above average,FALSE,FALSE
AIM25,P47140,6.4449,7.1256,0.45579,-0.6807,0.341235207,-,Less,More,6.9004,6.1472,0.33657,0.7532,0.472924597,-,More,More,7.1648,7.3991,0.63426,-0.2343,0.197732677,-,More,More,FALSE,FALSE,Mixed
